Name,,,Principal,Phone Number,Email
,,,,,
"ChristKnowledgeCity,Ernakulam(CKC)",code_set.php?code=Q0tD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q0tD,DR.MRAJARAMNARAYANAN,4842652600,city@christknowledgecity.com
,,,,,
"CarmelCollegeofEngineeringandTechnology,Alappuzha(CMA)",code_set.php?code=Q01B,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q01B,DR.PAULKMATHEW,4772287240,principalcccet@gmail.com
,,,,,
"BelieversChurchCaarmelEngineeringCollege,Pathanamthitta(CML)",code_set.php?code=Q01M,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Q01M,DR.A.G.MATHEW,4735240990,ag.mathew@bccaarmel.ac.in
,,,,,
"M.DasanInstituteofTechnology,Kozhikode(DMC)",code_set.php?code=RE1D,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=RE1D,DRPMMAHEESAN,4962664700,mdit_college@rediffmail.com
,,,,,
"SreeErnakulathappanCollegeofEngineeringandManagement,Thrissur(ECE)",code_set.php?code=RUNF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=RUNF,DR.JOHNK.THOMAS,4802781898,ernakulathappantrust@gmail.com
,,,,,
"EranadKnowledgeCityTechnicalCampus,Malappuram(EKC)",code_set.php?code=RUtD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=RUtD,DR.BPRIESTLYSHAN,4833013613,principal.ekctc@eranadknowledgecity.com
,,,,,
"FederalInstituteofScienceandTechnology,Ernakulam(FIT)",code_set.php?code=RklU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=RklU,DR.GEORGEISSAC,4842725272,mail@fisat.ac.in
,,,,,
"FocusInstituteofScienceandTechnology,Thrissur(FOP)",code_set.php?code=Rk9Q,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Rk9Q,DR.JOBIVPAUL,4872207500,focustechnicalcampus@gmail.com
,,,,,
"GurudevaInstituteofScienceandTechnology,Kottayam(GIT)",code_set.php?code=R0lU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=R0lU,DR.JUSTINJOSET,4812354800,justoutjose@gmail.com
,,,,,
"KRGouriAmmaCollegeofEngineering,Alappuzha(GWE)",code_set.php?code=R1dF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=R1dF,DR.RRADHAKRISHNAN,4782560700,info.krgce@gmail.com
,,,,,
"HeeraCollegeofEngineeringandTechnology,Thiruvananthapuram(HCE)",code_set.php?code=SENF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SENF,DR.T.RUBANDEVAPRAKASH,4722867101,principal@hcet.in
,,,,,
"HolyGraceAcademyofEngineering,Thrissur(HGW)",code_set.php?code=SEdX,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SEdX,DR.M.D.SREEKUMAR,4802695050,hgw.principal@gmail.com
,,,,,
"HolyKingsCollegeofEngineeringandTechnology,Ernakulam(HKC)",code_set.php?code=SEtD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SEtD,DRTKMANI,4852274456,principal@holykingscollege.com
,,,,,
"HindustanCollegeofEngineering,Kollam(HKE)",code_set.php?code=SEtF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SEtF,DR.RAJAIKUMARMEPHD,8825600260,eeeccctech@gmail.com
,,,,,
"IlahiaCollegeofEngineeringandTechnology,Ernakulam(ICE)",code_set.php?code=SUNF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SUNF,PROF.DR.M.MOHAMEDSITHEEQ,4852865000,principal@icet.ac.in
,,,,,
"IlahiaSchoolofScienceandTechnology,Muvattupuzha(ICT)",code_set.php?code=SUNU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SUNU,DR.ABHIRAJT.K,4852814603,issatmpz@gmail.com
,,,,,
"IESCollegeofEngineering,Thrissur(IES)",code_set.php?code=SUVT,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SUVT,DRSBRILLYSANGEETHA,4872309966,iesce.2003@gmail.com
,,,,,
"IndiraGandhiInstituteofEngineeringandTechnology,Ernakulam(IGW)",code_set.php?code=SUdX,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SUdX,DR.N.K.VARGHESE,4852827740,principal@iiet.org.in
,,,,,
"ILMCollegeofEngineeringandTechnology,Perumbavoor(ILE)",code_set.php?code=SUxF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SUxF,PROF.DR.GIRIDASK.L.,4842597904,principalilmcet@gmail.com
,,,,,
"JaiBharathCollegeofManagementandEngineeringTechnology,Ernakulam(JBT)",code_set.php?code=SkJU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SkJU,DR.ABHILASHK.S.,9400537747,dr.abhilashks@gmail.com
,,,,,
"JawaharlalCollegeofEngineeringandTechnology,Palakkad(JCE)",code_set.php?code=SkNF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SkNF,DRVPSUKUMARANNAIR,4662344800,jcetncerc@gmail.com
,,,,,
"JyothiEngineeringCollege,Thrissur(JEC)",code_set.php?code=SkVD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SkVD,DR.JAISONPAUL,4884259255,principal@jecc.ac.in
,,,,,
"JohnCoxMemorialCSIInstituteofTechnology,Thiruvananthapuram(JIT)",code_set.php?code=SklU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=SklU,PROF.DR.P.BALACHANDRAN,9446102437,principal@jcmcsiit.ac.in
,,,,,
"KottayamInstituteofTechnologyandScience,Kottayam(KIT)",code_set.php?code=S0lU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S0lU,DR.M.KATHIRVEL,4812704700,kits.admn@gmail.com
,,,,,
"KMCTCollegeofEngineering,Kozhikode(KMC)",code_set.php?code=S01D,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S01D,DR.PJANARDHANAN,4952289099,janardhananpanath@gmail.com
,,,,,
"KMEAEngineeringCollege,Cochin(KME)",code_set.php?code=S01F,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S01F,DRAMARNISHADTM,4842411005,principal@kmeacollege.ac.in
,,,,,
"KMPCollegeofEngineering,Ernakulam(KMP)",code_set.php?code=S01Q,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S01Q,DR.SSENTHILKUMAR,4842650400,principal@kmpce.org
,,,,,
"KMCTCollegeofEngineeringforWomen,Kozhikode(KMW)",code_set.php?code=S01X,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S01X,DR.ELIZABETHCKURUVILLA,4952520952,elizaatm@yahoo.com
,,,,,
"KVMCollegeofEngineeringandInformationTechnology,Alappuzha(KVE)",code_set.php?code=S1ZF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=S1ZF,DRSVMURUGAPRASAD,4782811080,kvmceit@gmail.com
,,,,,
"LourdesMathaCollegeofScienceandTechnology,Thiruvananthapuram(LMC)",code_set.php?code=TE1D,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TE1D,DR.V.SYAMPRAKASH,4722853550,principal@lmcst.ac.in
,,,,,
"MarBaseliosChristianCollegeofEngineeringandTechnology,Idukki(MBC)",code_set.php?code=TUJD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUJD,DR.PRADEEPC,4869233578,principal@mbcpeermade.com
,,,,,
"MarBaseliosInstituteofTechnologyandScience,Ernakulam(MBI)",code_set.php?code=TUJJ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUJJ,DR.PSOJANLAL,4852837806,principal@mbits.edu.in
,,,,,
"MarBaseliosCollegeofEngineeringandTechnology,Thiruvananthapuram(MBT)",code_set.php?code=TUJU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUJU,DRTMGEORGE,4712545869,principal@mbcet.ac.in
,,,,,
"MusaliarCollegeOfEngineering,Thiruvananthapuram(MCC)",code_set.php?code=TUND,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUND,DR.C.SAM,4702640605,principal@musaliarcollegeckl.in
,,,,,
"MarianEngineeringCollege,Thiruvananthapuram(MCE)",code_set.php?code=TUNF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUNF,DRRUBYABRAHAM,2707111,principal@marian.ac.in
,,,,,
"MusaliarCollegeofEngineeringandTechnology,Pathanamthitta(MCK)",code_set.php?code=TUNL,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUNL,DR.CHITHRAPRASADD,4682301703,principal@musaliarcollege.com
,,,,,
"MohandasCollegeofEngineeringandTechnology,Thiruvananthapuram(MCT)",code_set.php?code=TUNU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUNU,DR.SSHEELA,4722813039,principal@mcetonline.com
,,,,,
"MEAEngineeringCollege,Vengoor(MEA)",code_set.php?code=TUVB,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUVB,DR.RAJINM.LINUS,4933277556,principal@meaec.edu.in
,,,,,
"MalabarCollegeofEngineeringandTechnology,Thrissur(MEC)",code_set.php?code=TUVD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUVD,DR.V.NANDANAN,4884280803,malabarcet@gmail.com
,,,,,
"MESCollegeofEngineeringandTechnology,Ernakulam(MEE)",code_set.php?code=TUVF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUVF,DR.ATMARAMP,4842573211,principal@mescet.ac.in
,,,,,
"MESInstituteofTechnologyandManagement,Kollam(MEK)",code_set.php?code=TUVL,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUVL,DR.M.JAYARAJU,4742590700,principal@mesitam.ac.in
,,,,,
"MESCollegeofEngineering,Kuttippuram(MES)",code_set.php?code=TUVT,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUVT,DR.A.S.VARADARAJAN,4943051111,principal@mesce.ac.in
,,,,,
"MetsSchoolofEngineering,Thrissur(MET)",code_set.php?code=TUVU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUVU,DR.PSURESHVENUGOPAL,4802897337,mets_engg@rediffmail.com
,,,,,
"MGCollegeofEngineering,Thiruvananthapuram(MGC)",code_set.php?code=TUdD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUdD,DR.SUJIN.P.R,4712383747,mgcet2011@gmail.com
,,,,,
"MGMCollegeofEngineering&Technology,Ernakulam(MGE)",code_set.php?code=TUdF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUdF,PROF.KUABRAHAM,4852274456,mail@mgmcet.ac.in
,,,,,
"SaintgitsCollegeofEngineering,Kottayam(MGP)",code_set.php?code=TUdQ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUdQ,DRMDMATHEW,4812436169,principalce@saintgits.org
,,,,,
"ACECollegeOfEngineering,Thiruvananthapuram(MHP)",code_set.php?code=TUhQ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUhQ,DR.FARRUKHSAYEED,4717117788,principal@acetvm.com
,,,,,
"MookambikaTechnicalCampus,Ernakulam(MKE)",code_set.php?code=TUtF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUtF,-,-,-
,,,,,
"MangalamCollegeofEngineering,Kottayam(MLM)",code_set.php?code=TUxN,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUxN,DR.JMMATHANAMEPHD,4812533722,info@mangalam.in
,,,,,
"MalabarInstituteofTechnology,Kannur(MLT)",code_set.php?code=TUxU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TUxU,DRCSORNACHANDRADEVADASS,4972855005,mit@anjarakandy.in
,,,,,
"MathaCollegeofTechnology,Ernakulam(MTA)",code_set.php?code=TVRB,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TVRB,DR.JANAHANLAL.P.S,4842672291,principal@mathacollege.in
,,,,,
"MuslimAssociationCollegeofEngineering,Thiruvananthapuram(MUS)",code_set.php?code=TVVT,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TVVT,DR.ALEXRAJJUBALAN,4722871786,principal@macev.org
,,,,,
"MuthootInstituteofTechnologyandScience,Ernakulam(MUT)",code_set.php?code=TVVU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TVVU,DR.CHIKKUABRAHAM,4842732100,principal@mgits.ac.in
,,,,,
"MountZionCollegeofEngineering,Pathanamthitta(MZC)",code_set.php?code=TVpD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TVpD,PROF.DR.K.MATHEW,4682217425,mathewk07@gmail.com
,,,,,
"MountZionInstituteofScienceandTechnology,Alappuzha(MZW)",code_set.php?code=TVpX,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TVpX,DRASIVASUBRAMANIAN,4792369432,mountzionwomen@ktu.edu.in
,,,,,
"NehruCollegeofEngineeringandResearchCentre,Thrissur(NCE)",code_set.php?code=TkNF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TkNF,DR.AMBIKADEVIAMMAT,4884284000,principal@ncerc.ac.in
,,,,,
"NirmalaCollegeofEngineering,Thirissur(NIE)",code_set.php?code=TklF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=TklF,DR.SURENDRANA,4872201195,ammanath@yahoo.com
,,,,,
"NorthMalabarInstituteofTechnology,Kasaragod(NML)",code_set.php?code=Tk1M,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Tk1M,DR.VIJEESHVIJAYAN,4672244801,principal@nmitkerala.ac.in
,,,,,
"PAAzizCollegeofEngineeringandTechnology,Thiruvananthapuram(PAA)",code_set.php?code=UEFB,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UEFB,-,-,-
,,,,,
"PrimeCollegeofEngineering,Palakkad(PCE)",code_set.php?code=UENF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UENF,DR.S.I.MANJURBASHA,4912571118,primecollegeofengineering@gmail.com
,,,,,
